date,temp_max,temp_min,precip_mm,rain_mm,temp_avg,is_rainy,is_cold,is_hot
2026_04_20,17.4,7.1,0.7,0.7,12.2,1,0,0
2026_04_21,17.7,4.5,0.0,0.0,11.1,0,0,0
2026_04_22,18.6,8.3,0.0,0.0,13.4,0,0,0
2026_04_23,22.6,9.6,0.0,0.0,16.1,0,0,0
2026_04_24,25.2,9.1,0.0,0.0,17.2,0,0,0
2026_04_25,25.1,9.4,0.0,0.0,17.2,0,0,0
2026_04_26,23.4,9.2,0.0,0.0,16.3,0,0,0
2026_04_27,22.0,10.6,2.2,2.2,16.3,1,0,0
2026_04_28,15.1,10.1,0.5,0.5,12.6,0,0,0
2026_04_29,19.6,7.9,0.0,0.0,13.8,0,0,0
2026_04_30,22.3,8.8,0.0,0.0,15.6,0,0,0
